日期,开盘价,最高价,最低价,收盘价,成交量(BTC),成交额(百万美元),价格变动,涨跌幅(%),价格振幅,振幅(%),实体大小,实体(%),趋势,多空比(LS),资金费率(FR),持仓量(OI-百万),清算量(美元)
2024-01-01,42152.1,42860.94,41998.26,42265.19,16397498809.56,693043331.46,,,862.68,2.04,113.09,0.27,上涨,2.455,0.02801,879.61,93700.0
2024-01-02,42280.24,44175.44,42214.98,44167.33,18426978443.25,813870441.75,1902.14,4.5,1960.46,4.44,1887.09,4.46,上涨,2.321,0.033397,892.82,1069200.0
2024-01-03,44187.14,45899.71,44176.95,44957.97,39335274535.93,1768434094.66,790.64,1.79,1722.76,3.83,770.83,1.74,上涨,2.081,0.01,855.9,3233600.0
2024-01-04,44961.6,45503.24,40813.53,42848.18,46342323118.41,1985684000.59,-2109.79,-4.69,4689.71,10.94,-2113.43,-4.7,下跌,2.451,0.01,831.09,260600.0
2024-01-05,42855.81,44770.02,42675.17,44179.92,30448091209.81,1345194285.59,1331.75,3.11,2094.85,4.74,1324.11,3.09,上涨,2.323,0.01,833.86,1096800.0
2024-01-06,44192.98,44353.29,42784.72,44162.69,32336029346.8,1428046092.59,-17.23,-0.04,1568.57,3.55,-30.29,-0.07,下跌,2.225,0.001285,806.44,351900.0
2024-01-07,44178.95,44227.63,43475.16,43989.19,16092503467.55,707896258.48,-173.5,-0.39,752.47,1.71,-189.76,-0.43,下跌,2.225,0.01,792.96,518500.0
2024-01-08,43998.46,44495.57,43662.23,43943.1,19330573863.32,849445286.77,-46.1,-0.1,833.34,1.9,-55.37,-0.13,下跌,2.222,0.004837,796.55,646900.0
2024-01-09,43948.71,47218.0,43244.08,46970.5,42746192015.18,2007810110.98,3027.41,6.89,3973.92,8.46,3021.8,6.88,上涨,2.0,0.01,818.0,3154700.0
2024-01-10,46987.64,47893.7,45244.72,46139.73,39821290991.56,1837343629.53,-830.77,-1.77,2648.99,5.74,-847.91,-1.8,下跌,2.133,0.01,853.6,1779800.0
2024-01-11,46121.54,47647.22,44483.15,46627.78,50114613298.1,2336733119.15,488.05,1.06,3164.07,6.79,506.24,1.1,上涨,2.38,0.01,840.61,3539200.0
2024-01-12,46656.07,48969.37,45678.65,46368.59,45833734549.23,2125245433.82,-259.19,-0.56,3290.73,7.1,-287.49,-0.62,下跌,2.378,0.01,897.58,4835700.0
2024-01-13,46354.79,46498.13,41903.77,42853.17,43332698900.4,1856943367.72,-3515.42,-7.58,4594.36,10.72,-3501.63,-7.55,下跌,2.652,0.01,847.73,370900.0
2024-01-14,42799.45,43234.66,42464.14,42842.38,20601860468.7,882632780.05,-10.78,-0.03,770.52,1.8,42.94,0.1,上涨,2.815,0.01,822.41,929300.0
2024-01-15,42842.26,43065.6,41724.61,41796.27,17521429522.39,732330392.21,-1046.11,-2.44,1340.99,3.21,-1045.99,-2.44,下跌,2.789,0.01,812.16,891900.0
2024-01-16,41715.07,43319.72,41705.42,42511.97,22320220557.74,948876495.86,715.7,1.71,1614.3,3.8,796.9,1.91,上涨,3.006,0.01,791.31,353200.0
2024-01-17,42499.34,43566.27,42086.0,43154.94,24062872739.52,1038431931.19,642.98,1.51,1480.28,3.43,655.61,1.54,上涨,2.903,0.01,803.56,861400.0
2024-01-18,43132.1,43189.89,42189.31,42742.65,20851232595.16,891236996.05,-412.29,-0.96,1000.58,2.34,-389.45,-0.9,下跌,2.981,0.01,802.04,2270600.0
2024-01-19,42742.31,42876.35,40631.17,41262.06,25218357242.1,1040561328.37,-1480.59,-3.46,2245.18,5.44,-1480.25,-3.46,下跌,2.909,0.01,803.41,1441700.0
2024-01-20,41278.46,42134.16,40297.46,41618.41,25752407154.41,1071774171.59,356.35,0.86,1836.7,4.41,339.95,0.82,上涨,,0.01,811.93,33100.0
